,Year,Month,Monthly Anomaly
,2010,9,0.873
,2010,10,0.163
,2010,11,-0.185
,2010,12,1.412
,2011,1,0.704
,2011,2,-0.985
,2011,3,-0.077
,2011,4,0.015
,2011,5,-1.172
,2011,6,-0.490
,2011,7,0.210
,2011,8,-0.040
,2011,9,1.367
,2011,10,0.741
,2011,11,-0.929
,2011,12,0.193
,2012,1,1.429
,2012,2,0.362
,2012,3,-0.421
,2012,4,0.806
,2012,5,0.911
,2012,6,0.508
,2012,7,0.106
,2012,8,0.720
,2012,9,-0.573
,2012,10,0.661
,2012,11,1.121
,2012,12,0.551
,2013,1,-0.164
,2013,2,-0.444
,2013,3,1.501
,2013,4,2.595
,2013,5,1.714
,2013,6,1.598
,2013,7,0.866
,2013,8,0.552
,2013,9,0.346
,2013,10,-0.492
,2013,11,0.933
,2013,12,-0.093
,2014,1,3.357
,2014,2,1.100
,2014,3,2.585
,2014,4,1.831
,2014,5,2.426
,2014,6,1.355
,2014,7,1.897
,2014,8,1.270
,2014,9,1.194
,2014,10,2.257
,2014,11,1.663
,2014,12,2.938
,2015,1,2.450
,2015,2,3.087
,2015,3,3.800
,2015,4,1.577
,2015,5,-0.465
,2015,6,1.959
,2015,7,1.875
,2015,8,2.159
,2015,9,2.008
,2015,10,2.735
,2015,11,-0.688
,2015,12,0.133
,2016,1,1.833
,2016,2,2.706
,2016,3,1.796
,2016,4,2.429
,2016,5,1.342
,2016,6,2.022
,2016,7,0.874
,2016,8,0.227
,2016,9,0.471
,2016,10,-0.015
,2016,11,1.182
,2016,12,0.087
,2017,1,0.199
,2017,2,0.664
,2017,3,1.930
,2017,4,1.155
,2017,5,1.508
,2017,6,1.860
,2017,7,1.947
,2017,8,1.793
,2017,9,2.272
,2017,10,1.074
,2017,11,1.093
,2017,12,1.395
,2018,1,2.281
,2018,2,0.827
,2018,3,0.153
,2018,4,0.917
,2018,5,0.265
,2018,6,1.273
,2018,7,1.919
,2018,8,0.608
,2018,9,-0.167
,2018,10,1.005
,2018,11,1.544
,2018,12,1.342
,2019,1,2.357
,2019,2,-1.857
,2019,3,0.353
,2019,4,2.385
,2019,5,-0.434
,2019,6,2.274
,2019,7,1.148
,2019,8,2.530
,2019,9,1.288
,2019,10,0.484
,2019,11,0.945
,2019,12,1.516
,2020,1,1.296
,2020,2,1.834
,2020,3,0.148
,2020,4,1.422
,2020,5,2.520
,2020,6,2.134
,2020,7,1.030
,2020,8,2.974
,2020,9,2.502
,2020,10,3.207
,2020,11,0.199
,2020,12,1.480
